STATE,ST_CASE,EVENTNUM,VEH_NO,VEventNum,VNUMBER1,AOI1,SOE,VNUMBER2,AOI2
1,10148,4,1,4,1,0,2,9999,77
1,10149,1,1,1,1,55,68,5555,55
1,10149,2,1,2,1,55,68,5555,55
1,10149,3,1,3,1,55,63,5555,55
1,10149,4,1,4,1,9,42,9999,77
1,10149,5,1,5,1,0,1,9999,77
1,10150,1,1,1,1,55,61,5555,55
1,10150,2,1,2,1,55,63,5555,55
1,10150,3,1,3,1,0,1,9999,77
1,10151,1,1,1,1,55,63,5555,55
1,10151,2,1,2,1,12,35,9999,77
1,10151,3,1,3,1,55,67,5555,55
1,10151,4,1,4,1,12,42,9999,77
1,10151,5,1,5,1,0,1,9999,77
1,10152,1,1,1,2,12,12,1,6
1,10152,1,2,1,2,12,12,1,6
1,10153,1,1,1,1,55,63,5555,55
1,10153,2,1,2,1,12,59,9999,77
1,10153,3,1,3,1,12,30,9999,77
1,10154,1,1,1,2,12,12,1,9
1,10154,1,2,1,2,12,12,1,9
1,10155,1,1,1,2,12,12,1,9
1,10155,1,2,1,2,12,12,1,9
1,10156,1,1,1,1,55,68,5555,55
1,10156,2,1,2,1,55,64,5555,55
1,10156,3,1,3,1,55,67,5555,55
1,10156,4,1,4,1,0,1,9999,77
1,10156,5,1,5,1,9,42,9999,77
1,10157,1,1,1,1,55,61,5555,55
1,10157,2,1,2,1,55,64,5555,55
1,10157,3,1,3,1,55,69,5555,55
1,10157,4,1,4,1,0,1,9999,77
1,10158,1,1,1,1,55,68,5555,55
1,10158,2,1,2,1,55,68,5555,55
1,10158,3,1,3,1,55,63,5555,55
1,10158,4,1,4,1,6,35,9999,77
1,10158,5,1,5,1,0,1,9999,77
1,10159,1,1,1,1,55,68,5555,55
1,10159,2,1,2,1,12,12,2,12
1,10159,2,2,1,1,12,12,2,12
1,10160,1,1,1,1,55,64,5555,55
1,10160,2,1,2,1,55,65,5555,55
1,10160,3,1,3,1,55,69,5555,55
1,10160,4,1,4,1,12,12,2,12
1,10160,4,2,1,1,12,12,2,12
1,10160,5,2,2,3,12,12,2,81
1,10160,5,3,1,3,12,12,2,81
1,10161,1,1,1,1,55,68,5555,55
1,10161,2,1,2,1,55,64,5555,55
1,10161,3,1,3,1,0,1,9999,77
1,10161,4,1,4,1,0,3,9999,77
1,10162,1,1,1,1,12,12,2,6
1,10162,1,2,1,1,12,12,2,6
