ST_CASE,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10
460079,0,0,0,0,0,0,0,0,0,0
460080,0,7,0,0,0,0,21,4,0,27
460081,24,24,24,24,24,24,24,24,24,24
460082,18,18,18,18,18,18,18,18,18,18
460083,0,0,0,0,0,0,0,0,0,0
460084,21,21,21,21,21,21,21,21,21,21
460085,28,28,28,28,28,28,28,28,28,28
460086,21,21,21,21,21,21,21,21,21,21
460087,0,0,0,0,0,0,0,0,0,0
460088,0,0,0,0,0,0,0,0,0,0
460089,0,0,0,0,21,0,3,0,8,0
460090,0,0,0,0,0,0,0,0,0,0
460091,0,0,0,0,0,0,0,0,0,0
460092,32,32,32,32,32,32,32,32,32,32
460093,22,22,22,22,22,22,22,22,22,22
460094,0,0,0,0,0,0,0,0,0,0
460095,8,19,0,0,0,7,16,47,0,0
460096,23,23,23,23,23,23,23,23,23,23
460097,0,0,0,0,0,0,0,0,0,0
460098,29,29,29,29,29,29,29,29,29,29
460099,34,34,34,34,34,34,34,34,34,34
460100,14,14,14,14,14,14,14,14,14,14
460101,24,24,24,24,24,24,24,24,24,24
460102,0,0,0,0,0,0,0,0,0,0
460103,0,0,0,0,0,0,0,0,0,0
460104,18,18,18,18,18,18,18,18,18,18
460105,0,0,0,0,0,0,0,0,0,0
460106,22,22,22,27,28,22,22,22,22,22
460107,14,0,29,0,0,0,8,19,0,0
460108,0,0,0,0,0,0,0,0,0,0
460109,0,0,0,0,0,0,0,0,0,0
460110,0,0,0,0,0,0,0,0,0,0
460111,0,0,0,0,0,0,0,0,0,0
460112,0,0,0,0,0,0,0,0,0,0
460113,0,0,0,0,0,0,0,0,0,0
460114,0,0,0,0,0,0,0,0,0,0
460115,0,0,0,0,0,0,0,0,0,0
460116,14,14,14,14,14,14,14,14,14,14
460117,0,24,12,24,14,14,13,6,42,23
470001,27,27,27,27,27,27,27,27,27,27
470002,0,0,0,0,0,0,0,0,0,0
470003,0,0,0,0,0,0,0,0,0,0
470004,0,0,0,26,0,0,0,0,0,0
470005,0,0,0,0,0,0,0,0,0,0
470006,0,0,0,0,0,0,0,0,0,0
470007,0,0,0,0,0,0,0,0,0,0
470008,0,0,0,0,0,0,0,0,0,0
470009,10,10,10,10,10,10,10,10,10,10
470010,0,0,16,0,0,15,31,30,15,25
470011,29,33,0,13,11,13,0,0,12,0
470012,0,0,0,0,0,0,0,0,0,0
470013,27,0,0,0,0,0,0,16,0,0
470014,14,14,14,14,14,17,14,14,14,14
470015,14,15,0,24,0,0,0,24,0,0
470016,0,8,0,0,0,0,0,0,0,0
470017,18,18,18,18,18,18,18,18,18,18
470018,14,14,14,14,14,14,14,14,14,14
470019,25,25,25,25,25,25,25,25,25,25
470020,26,26,26,26,26,26,26,26,26,26
470021,0,0,0,0,0,0,0,0,0,0
470022,0,0,0,0,0,0,0,0,0,0
470023,23,23,23,23,23,23,23,23,23,23
470024,7,7,7,7,7,7,7,7,7,7
470025,0,0,0,0,0,0,0,7,0,0
470026,14,14,14,14,14,14,14,14,14,14
470027,0,0,0,0,0,0,0,0,0,0
470028,4,4,4,4,4,4,4,4,4,4
470029,18,18,18,18,18,18,18,18,18,18
470030,11,11,11,11,11,11,11,11,11,11
470031,0,0,0,0,0,0,0,0,0,0
470032,0,0,0,0,0,0,0,0,0,0
470033,0,0,0,36,0,0,0,0,19,0
470034,0,0,0,0,0,0,0,0,0,0
470035,0,0,19,12,0,0,0,0,26,0
470036,0,0,0,0,0,0,0,0,0,0
470037,3,3,3,3,3,3,3,3,3,3
470038,20,20,20,20,20,20,20,20,20,20
470039,0,0,0,0,0,0,0,0,0,0
470040,18,0,32,0,0,0,0,11,0,0
470041,0,0,0,0,0,0,0,0,0,0
470043,0,0,0,0,0,0,0,0,0,0
470044,0,0,0,0,0,0,0,0,0,0
