STATE,ST_CASE,EVENTNUM,VEH_NO,VEVENTNUM,VNUMBER1,AOI1,SOE,VNUMBER2,AOI2
1,10147,3,1,3,2,12,12,1,3
1,10147,3,2,1,2,12,12,1,3
1,10148,1,1,1,1,55,68,5555,55
1,10148,2,1,2,1,12,12,2,12
1,10148,2,2,1,1,12,12,2,12
1,10149,1,1,1,1,55,68,5555,55
1,10149,2,1,2,1,12,12,2,10
1,10149,2,2,1,1,12,12,2,10
1,10150,1,1,1,1,55,64,5555,55
1,10150,2,1,2,1,9,24,9999,77
1,10150,3,1,3,1,55,69,5555,55
1,10150,4,1,4,1,55,63,5555,55
1,10150,5,1,5,1,0,1,9999,77
1,10151,1,1,1,1,55,63,5555,55
1,10151,2,1,2,1,1,53,9999,77
1,10151,3,1,3,1,3,42,9999,77
1,10151,4,1,4,1,98,53,9999,77
1,10152,1,1,1,2,12,12,1,9
1,10152,1,2,1,2,12,12,1,9
1,10153,1,1,1,1,1,12,2,10
1,10153,2,1,2,1,55,63,5555,55
1,10153,3,1,3,1,0,1,9999,77
1,10153,4,1,4,1,98,38,9999,77
1,10153,1,2,1,1,1,12,2,10
1,10154,1,1,1,1,55,64,5555,55
1,10154,2,1,2,1,0,1,9999,77
1,10155,1,1,1,1,55,64,5555,55
1,10155,2,1,2,1,55,69,5555,55
1,10155,3,1,3,1,5,12,2,12
1,10155,3,2,1,1,5,12,2,12
1,10156,1,1,1,1,12,8,9999,77
1,10156,2,1,2,1,12,8,9999,77
1,10157,1,1,1,1,55,61,5555,55
1,10157,2,1,2,1,55,64,5555,55
1,10157,3,1,3,1,3,52,9999,77
1,10157,4,1,4,1,0,1,9999,77
1,10157,5,1,5,1,3,21,9999,77
1,10158,1,1,1,1,55,63,5555,55
1,10158,2,1,2,1,12,35,9999,77
1,10158,3,1,3,1,0,1,9999,77
1,10158,4,1,4,1,13,42,9999,77
1,10159,1,1,1,1,55,63,5555,55
1,10159,2,1,2,1,0,1,9999,77
1,10160,1,1,1,1,55,68,5555,55
1,10160,2,1,2,1,55,64,5555,55
1,10160,3,1,3,1,12,19,9999,77
