ST_CASE,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10
480954,0,0,0,0,0,0,0,0,0,0
480955,21,21,21,21,21,21,21,21,21,21
480956,0,0,0,3,0,0,0,9,0,7
480957,7,7,7,7,7,7,7,7,7,7
480958,0,0,0,0,0,0,0,0,0,0
480959,17,17,17,17,27,31,17,17,17,21
480960,42,18,15,20,30,13,11,23,14,32
480961,22,27,22,22,22,22,28,22,22,22
480962,18,18,18,18,18,18,18,18,18,18
480963,0,0,16,0,0,0,0,0,10,0
480964,0,0,0,0,0,0,0,0,0,0
480965,0,0,0,0,0,0,0,0,0,0
480966,10,19,4,5,21,11,17,15,15,12
480967,26,26,26,26,26,26,26,26,26,26
480968,14,14,14,14,14,14,14,14,14,14
480969,43,0,38,14,23,19,13,8,25,9
480970,2,0,32,18,2,8,5,18,30,22
480971,0,0,0,15,0,0,0,27,19,0
480972,11,11,11,11,11,11,11,11,11,11
480973,10,10,10,10,10,10,10,10,10,10
480974,7,0,6,8,0,0,0,0,0,0
480975,0,15,0,12,25,43,26,0,0,0
480976,0,0,0,0,0,0,0,0,0,0
480977,19,19,19,19,19,19,19,19,19,19
480978,32,13,15,7,15,17,0,0,29,0
480979,17,17,17,17,17,17,17,17,17,17
480980,0,0,0,0,0,21,0,0,0,0
480981,11,11,11,11,11,11,11,11,11,11
480982,23,23,23,23,23,23,23,23,23,23
480983,0,0,6,0,0,0,0,0,24,0
480984,10,10,10,10,10,10,10,10,10,10
480985,33,0,0,0,17,0,8,0,0,0
480986,11,11,11,11,11,11,11,11,11,11
480987,0,0,0,0,0,0,0,0,0,0
480988,0,0,0,0,0,0,0,0,0,0
480989,29,29,29,29,29,29,29,29,29,29
480990,0,11,0,0,0,0,0,0,0,0
480991,0,0,0,15,0,0,0,0,0,0
480992,23,24,24,13,19,20,18,21,5,17
480993,0,0,0,0,0,0,0,0,0,13
480994,8,0,0,0,0,0,0,0,0,0
480995,2,2,2,2,2,2,2,2,2,2
480996,0,0,0,0,0,0,0,0,0,0
480997,0,0,3,0,0,0,0,0,0,0
480998,34,26,0,0,19,9,0,0,0,0
480999,0,0,0,0,0,0,0,0,0,0
481000,28,0,0,0,13,0,30,9,14,0
481001,26,26,26,26,26,26,26,26,26,26
481002,19,6,19,26,24,12,12,18,11,10
481003,0,11,5,23,10,0,0,0,0,18
481004,0,0,0,0,0,31,0,16,17,0
481005,20,20,20,20,20,20,20,20,20,20
481006,4,4,4,4,4,4,4,4,4,4
